2026-02-07 08:49:48.384 [redisson-3-8][TID: N/A][trace:482328637777801216] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-07 09:36:58.788 [redisson-3-9][TID: N/A][trace:482340509021270016] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, user_withdraw_review_operation], desc=put
2026-02-07 09:36:58.789 [redisson-3-9][TID: N/A][trace:482340509021270016] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:37:18.430 [redisson-3-10][TID: N/A][trace:482340591389011969] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_type, commission_plan], desc=put
2026-02-07 09:37:18.431 [redisson-3-10][TID: N/A][trace:482340591389011969] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:44:07.694 [redisson-3-11][TID: N/A][trace:482342307773706240] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, user_withdraw_review_operation], desc=put
2026-02-07 09:44:07.695 [redisson-3-11][TID: N/A][trace:482342307773706240] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:44:09.271 [redisson-3-12][TID: N/A][trace:482342314501369856] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status], desc=put
2026-02-07 09:44:09.272 [redisson-3-12][TID: N/A][trace:482342314501369856] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:44:12.520 [redisson-3-13][TID: N/A][trace:482342327776342016] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[user_withdraw_review_operation, lock_status, audit_time_type], desc=put
2026-02-07 09:44:12.521 [redisson-3-13][TID: N/A][trace:482342327776342016] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:44:14.972 [redisson-3-14][TID: N/A][trace:482342338471817216] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_operation, agent_manual_adjust_type, agent_wallet_type], desc=put
2026-02-07 09:44:14.972 [redisson-3-14][TID: N/A][trace:482342338471817216] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:06:09.101 [redisson-3-15][TID: N/A][trace:482347850282201088] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[fee_type, ENABLE_DISABLE_TYPE], desc=put
2026-02-07 10:06:09.110 [redisson-3-15][TID: N/A][trace:482347850282201088] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:06:10.969 [redisson-3-16][TID: N/A][trace:482347858108772352] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[enable_disable_status, site_type], desc=put
2026-02-07 10:06:10.971 [redisson-3-16][TID: N/A][trace:482347858108772352] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:06:11.162 [redisson-3-1][TID: N/A][trace:482347858654031872] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_status], desc=put
2026-02-07 10:06:11.162 [redisson-3-1][TID: N/A][trace:482347858654031872] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:07:03.861 [redisson-3-2][TID: N/A][trace:482348080075534336] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_type, commission_plan], desc=put
2026-02-07 10:07:03.863 [redisson-3-2][TID: N/A][trace:482348080075534336] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:18:16.777 [redisson-3-3][TID: N/A][trace:482350902548525056] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[version_mobile_platform, version_update_status], desc=put
2026-02-07 10:18:16.780 [redisson-3-3][TID: N/A][trace:482350902548525056] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:18:56.667 [redisson-3-4][TID: N/A][trace:482351069632819200] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_type, commission_plan], desc=put
2026-02-07 10:18:56.668 [redisson-3-4][TID: N/A][trace:482351069632819200] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:21:18.089 [redisson-3-5][TID: N/A][trace:482351663017783296] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[CURRENCY_DECIMAL_TYPE, ENABLE_DISABLE_TYPE, venue_type, language_type, platform_class_status_type, one_model], desc=put
2026-02-07 10:21:18.090 [redisson-3-5][TID: N/A][trace:482351663017783296] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 10:25:39.184 [File Watcher][TID: N/A][trace:] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 3 class path changes (1 addition, 2 deletions, 0 modifications)
2026-02-07 10:25:39.761 [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1][TID: N/A][trace:] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-_SITE_SECURITY_BALANCE_GROUP-1, groupId=_SITE_SECURITY_BALANCE_GROUP] Revoke previously assigned partitions feng_SITE_SECURITY_BALANCE_TOPIC-0, feng_SITE_SECURITY_BALANCE_TOPIC-1, feng_SITE_SECURITY_BALANCE_TOPIC-2, feng_SITE_SECURITY_BALANCE_TOPIC-3, feng_SITE_SECURITY_BALANCE_TOPIC-4, feng_SITE_SECURITY_BALANCE_TOPIC-5, feng_SITE_SECURITY_BALANCE_TOPIC-6, feng_SITE_SECURITY_BALANCE_TOPIC-7, feng_SITE_SECURITY_BALANCE_TOPIC-8, feng_SITE_SECURITY_BALANCE_TOPIC-9, feng_SITE_SECURITY_BALANCE_TOPIC-10, feng_SITE_SECURITY_BALANCE_TOPIC-11, feng_SITE_SECURITY_BALANCE_TOPIC-12, feng_SITE_SECURITY_BALANCE_TOPIC-13, feng_SITE_SECURITY_BALANCE_TOPIC-14, feng_SITE_SECURITY_BALANCE_TOPIC-15, feng_SITE_SECURITY_BALANCE_TOPIC-16, feng_SITE_SECURITY_BALANCE_TOPIC-17, feng_SITE_SECURITY_BALANCE_TOPIC-18, feng_SITE_SECURITY_BALANCE_TOPIC-19, feng_SITE_SECURITY_BALANCE_TOPIC-20, feng_SITE_SECURITY_BALANCE_TOPIC-21, feng_SITE_SECURITY_BALANCE_TOPIC-22, feng_SITE_SECURITY_BALANCE_TOPIC-23, feng_SITE_SECURITY_BALANCE_TOPIC-24, feng_SITE_SECURITY_BALANCE_TOPIC-25, feng_SITE_SECURITY_BALANCE_TOPIC-26, feng_SITE_SECURITY_BALANCE_TOPIC-27, feng_SITE_SECURITY_BALANCE_TOPIC-28, feng_SITE_SECURITY_BALANCE_TOPIC-29, feng_SITE_SECURITY_BALANCE_TOPIC-30, feng_SITE_SECURITY_BALANCE_TOPIC-31
2026-02-07 10:25:39.762 [org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1][TID: N/A][trace:] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-feng_third_game_payout_group-2, groupId=feng_third_game_payout_group] Revoke previously assigned partitions feng_third_game_payout_topic-0, feng_third_game_payout_topic-1, feng_third_game_payout_topic-2, feng_third_game_payout_topic-3, feng_third_game_payout_topic-4, feng_third_game_payout_topic-5, feng_third_game_payout_topic-6, feng_third_game_payout_topic-7, feng_third_game_payout_topic-8, feng_third_game_payout_topic-9, feng_third_game_payout_topic-10, feng_third_game_payout_topic-11, feng_third_game_payout_topic-12, feng_third_game_payout_topic-13, feng_third_game_payout_topic-14, feng_third_game_payout_topic-15, feng_third_game_payout_topic-16, feng_third_game_payout_topic-17, feng_third_game_payout_topic-18, feng_third_game_payout_topic-19, feng_third_game_payout_topic-20, feng_third_game_payout_topic-21, feng_third_game_payout_topic-22, feng_third_game_payout_topic-23, feng_third_game_payout_topic-24, feng_third_game_payout_topic-25, feng_third_game_payout_topic-26, feng_third_game_payout_topic-27, feng_third_game_payout_topic-28, feng_third_game_payout_topic-29, feng_third_game_payout_topic-30, feng_third_game_payout_topic-31
2026-02-07 10:25:39.762 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1][TID: N/A][trace:] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-_ADDRESS_BALANCE_NOTIFY_GROUP-5, groupId=_ADDRESS_BALANCE_NOTIFY_GROUP] Revoke previously assigned partitions feng_ADDRESS_BALANCE_NOTIFY_TOPIC-0, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-1, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-2, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-3, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-4, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-5, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-6, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-7, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-8, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-9, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-10, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-11, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-12, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-13, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-14, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-15, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-16, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-17, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-18, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-19, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-20, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-21, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-22, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-23, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-24, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-25, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-26, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-27, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-28, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-29, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-30, feng_ADDRESS_BALANCE_NOTIFY_TOPIC-31
2026-02-07 10:25:39.762 [org.springframework.kafka.KafkaListenerEndpointContainer#5-0-C-1][TID: N/A][trace:] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-feng_user_rebate_reward_group-4, groupId=feng_user_rebate_reward_group] Revoke previously assigned partitions feng_user_rebate_reward_topic-0, feng_user_rebate_reward_topic-1, feng_user_rebate_reward_topic-2, feng_user_rebate_reward_topic-3, feng_user_rebate_reward_topic-4, feng_user_rebate_reward_topic-5, feng_user_rebate_reward_topic-6, feng_user_rebate_reward_topic-7, feng_user_rebate_reward_topic-8, feng_user_rebate_reward_topic-9, feng_user_rebate_reward_topic-10, feng_user_rebate_reward_topic-11, feng_user_rebate_reward_topic-12, feng_user_rebate_reward_topic-13, feng_user_rebate_reward_topic-14, feng_user_rebate_reward_topic-15, feng_user_rebate_reward_topic-16, feng_user_rebate_reward_topic-17, feng_user_rebate_reward_topic-18, feng_user_rebate_reward_topic-19, feng_user_rebate_reward_topic-20, feng_user_rebate_reward_topic-21, feng_user_rebate_reward_topic-22, feng_user_rebate_reward_topic-23, feng_user_rebate_reward_topic-24, feng_user_rebate_reward_topic-25, feng_user_rebate_reward_topic-26, feng_user_rebate_reward_topic-27, feng_user_rebate_reward_topic-28, feng_user_rebate_reward_topic-29, feng_user_rebate_reward_topic-30, feng_user_rebate_reward_topic-31
2026-02-07 10:25:39.762 [org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1][TID: N/A][trace:] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-feng_push_typing_amount_group-3, groupId=feng_push_typing_amount_group] Revoke previously assigned partitions feng_push_typing_amount_topic-0, feng_push_typing_amount_topic-1, feng_push_typing_amount_topic-2, feng_push_typing_amount_topic-3, feng_push_typing_amount_topic-4, feng_push_typing_amount_topic-5, feng_push_typing_amount_topic-6, feng_push_typing_amount_topic-7, feng_push_typing_amount_topic-8, feng_push_typing_amount_topic-9, feng_push_typing_amount_topic-10, feng_push_typing_amount_topic-11, feng_push_typing_amount_topic-12, feng_push_typing_amount_topic-13, feng_push_typing_amount_topic-14, feng_push_typing_amount_topic-15, feng_push_typing_amount_topic-16, feng_push_typing_amount_topic-17, feng_push_typing_amount_topic-18, feng_push_typing_amount_topic-19, feng_push_typing_amount_topic-20, feng_push_typing_amount_topic-21, feng_push_typing_amount_topic-22, feng_push_typing_amount_topic-23, feng_push_typing_amount_topic-24, feng_push_typing_amount_topic-25, feng_push_typing_amount_topic-26, feng_push_typing_amount_topic-27, feng_push_typing_amount_topic-28, feng_push_typing_amount_topic-29, feng_push_typing_amount_topic-30, feng_push_typing_amount_topic-31
2026-02-07 10:25:39.762 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1][TID: N/A][trace:] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-_CHAIN_TRADE_NOTIFY_GROUP-6, groupId=_CHAIN_TRADE_NOTIFY_GROUP] Revoke previously assigned partitions feng_CHAIN_TRADE_NOTIFY_TOPIC-0, feng_CHAIN_TRADE_NOTIFY_TOPIC-1, feng_CHAIN_TRADE_NOTIFY_TOPIC-2, feng_CHAIN_TRADE_NOTIFY_TOPIC-3, feng_CHAIN_TRADE_NOTIFY_TOPIC-4, feng_CHAIN_TRADE_NOTIFY_TOPIC-5, feng_CHAIN_TRADE_NOTIFY_TOPIC-6, feng_CHAIN_TRADE_NOTIFY_TOPIC-7, feng_CHAIN_TRADE_NOTIFY_TOPIC-8, feng_CHAIN_TRADE_NOTIFY_TOPIC-9, feng_CHAIN_TRADE_NOTIFY_TOPIC-10, feng_CHAIN_TRADE_NOTIFY_TOPIC-11, feng_CHAIN_TRADE_NOTIFY_TOPIC-12, feng_CHAIN_TRADE_NOTIFY_TOPIC-13, feng_CHAIN_TRADE_NOTIFY_TOPIC-14, feng_CHAIN_TRADE_NOTIFY_TOPIC-15, feng_CHAIN_TRADE_NOTIFY_TOPIC-16, feng_CHAIN_TRADE_NOTIFY_TOPIC-17, feng_CHAIN_TRADE_NOTIFY_TOPIC-18, feng_CHAIN_TRADE_NOTIFY_TOPIC-19, feng_CHAIN_TRADE_NOTIFY_TOPIC-20, feng_CHAIN_TRADE_NOTIFY_TOPIC-21, feng_CHAIN_TRADE_NOTIFY_TOPIC-22, feng_CHAIN_TRADE_NOTIFY_TOPIC-23, feng_CHAIN_TRADE_NOTIFY_TOPIC-24, feng_CHAIN_TRADE_NOTIFY_TOPIC-25, feng_CHAIN_TRADE_NOTIFY_TOPIC-26, feng_CHAIN_TRADE_NOTIFY_TOPIC-27, feng_CHAIN_TRADE_NOTIFY_TOPIC-28, feng_CHAIN_TRADE_NOTIFY_TOPIC-29, feng_CHAIN_TRADE_NOTIFY_TOPIC-30, feng_CHAIN_TRADE_NOTIFY_TOPIC-31
