2026-02-07 10:31:03.393 [background-preinit][TID: N/A][trace:] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2026-02-07 10:31:22.173 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'wallet-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:22.266 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:22.525 [restartedMain][TID: N/A][trace:] INFO  org.redisson.Version - Redisson 3.18.1
2026-02-07 10:31:22.794 [restartedMain][TID: N/A][trace:] INFO  o.r.cluster.ClusterConnectionManager - Redis cluster nodes configuration got from 192.168.29.52/192.168.29.52:7001:
eaa6e306c2f73064e3ed6981c7de08fb588d668b 192.168.29.52:7004@17004 slave c556b585d1b49937a928158a7942ef5dd00d9ec1 0 1770435081000 3 connected
c556b585d1b49937a928158a7942ef5dd00d9ec1 192.168.29.52:7003@17003 master - 0 1770435082608 3 connected 10923-16383
35de5cab71bf4e7e2b9b64610966d3d9088cf7a2 192.168.29.52:7002@17002 master - 0 1770435081600 2 connected 5461-10922
ded2b7f828bb9358197917d20bc81f1d6fc82568 192.168.29.52:7001@17001 myself,master - 0 0 1 connected 0-5460
6b3429b6c882cacf61bb9a45d5a2e0a451cf137e 192.168.29.52:7006@17006 slave 35de5cab71bf4e7e2b9b64610966d3d9088cf7a2 0 1770435082000 2 connected
df947aa0c748eb3be4bd9ab25fae5896b3d582c8 192.168.29.52:7005@17005 slave ded2b7f828bb9358197917d20bc81f1d6fc82568 0 1770435081600 1 connected

2026-02-07 10:31:22.804 [redisson-netty-2-11][TID: N/A][trace:] INFO  o.r.c.pool.MasterConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7002
2026-02-07 10:31:22.804 [redisson-netty-2-12][TID: N/A][trace:] INFO  o.r.c.pool.MasterConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7001
2026-02-07 10:31:22.813 [redisson-netty-2-18][TID: N/A][trace:] INFO  o.r.c.pool.MasterConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7003
2026-02-07 10:31:22.817 [redisson-netty-2-17][TID: N/A][trace:] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7002
2026-02-07 10:31:22.817 [redisson-netty-2-16][TID: N/A][trace:] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7001
2026-02-07 10:31:22.817 [redisson-netty-2-19][TID: N/A][trace:] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7003
2026-02-07 10:31:22.820 [redisson-netty-2-4][TID: N/A][trace:] INFO  o.r.c.pool.SlaveConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7006
2026-02-07 10:31:22.820 [redisson-netty-2-24][TID: N/A][trace:] INFO  o.r.c.pool.SlaveConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7005
2026-02-07 10:31:22.822 [redisson-netty-2-25][TID: N/A][trace:] INFO  o.r.c.pool.SlaveConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7004
2026-02-07 10:31:22.823 [redisson-netty-2-5][TID: N/A][trace:] INFO  o.r.cluster.ClusterConnectionManager - slaves: [redis://192.168.29.52:7006] added for slot ranges: [[5461-10922]]
2026-02-07 10:31:22.823 [redisson-netty-2-5][TID: N/A][trace:] INFO  o.r.cluster.ClusterConnectionManager - master: redis://192.168.29.52:7002 added for slot ranges: [[5461-10922]]
2026-02-07 10:31:22.823 [redisson-netty-2-5][TID: N/A][trace:] INFO  o.r.c.pool.PubSubConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7006
2026-02-07 10:31:22.823 [redisson-netty-2-26][TID: N/A][trace:] INFO  o.r.cluster.ClusterConnectionManager - slaves: [redis://192.168.29.52:7004] added for slot ranges: [[10923-16383]]
2026-02-07 10:31:22.823 [redisson-netty-2-26][TID: N/A][trace:] INFO  o.r.cluster.ClusterConnectionManager - master: redis://192.168.29.52:7003 added for slot ranges: [[10923-16383]]
2026-02-07 10:31:22.823 [redisson-netty-2-26][TID: N/A][trace:] INFO  o.r.c.pool.PubSubConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7004
2026-02-07 10:31:22.824 [redisson-netty-2-27][TID: N/A][trace:] INFO  o.r.cluster.ClusterConnectionManager - slaves: [redis://192.168.29.52:7005] added for slot ranges: [[0-5460]]
2026-02-07 10:31:22.824 [redisson-netty-2-27][TID: N/A][trace:] INFO  o.r.cluster.ClusterConnectionManager - master: redis://192.168.29.52:7001 added for slot ranges: [[0-5460]]
2026-02-07 10:31:22.824 [redisson-netty-2-27][TID: N/A][trace:] INFO  o.r.c.pool.PubSubConnectionPool - 1 connections initialized for 192.168.29.52/192.168.29.52:7005
2026-02-07 10:31:23.974 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.010 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'agent-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.042 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'report-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.126 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.166 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'wallet-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.196 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'play-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.251 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.347 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'pay-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.415 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'user-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:24.469 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'wallet-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:25.837 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:25.857 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 10:31:25.933 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_push_bet_order_topic,value:feng_push_bet_order_topic
2026-02-07 10:31:25.933 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_cancel_bet_order_topic,value:feng_cancel_bet_order_topic
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_push_typing_amount_topic,value:feng_push_typing_amount_topic
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_vip_flow_list_topic,value:feng_vip_flow_list_topic
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_venue_site_day_total_bet_amount_topic,value:feng_venue_site_day_total_bet_amount_topic
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_user_win_lose_channel,value:feng_user_win_lose_channel
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_user_venue_win_loss_batch_topic,value:feng_user_venue_win_loss_batch_topic
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_third_game_order_record,value:feng_third_game_order_record
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_third_game_payout_topic,value:feng_third_game_payout_topic
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_send_user_activity_order_list,value:feng_send_user_activity_order_list
2026-02-07 10:31:25.934 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_member_recharge,value:feng_member_recharge
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_member_withdraw,value:feng_member_withdraw
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_user_recharge_withdraw,value:feng_user_recharge_withdraw
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_agent_recharge_withdraw,value:feng_agent_recharge_withdraw
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_free_game,value:feng_free_game
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_free_game_record,value:feng_free_game_record
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_free_game_consume_record,value:feng_free_game_consume_record
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_task_novice_order_record,value:feng_task_novice_order_record
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_task_daily_week_order_record,value:feng_task_daily_week_order_record
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_MEDAL_ACQUIRE_QUEUE,value:feng_MEDAL_ACQUIRE_QUEUE
2026-02-07 10:31:25.935 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_call_friend_member_recharge,value:feng_call_friend_member_recharge
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_user_latest_bet_topic,value:feng_user_latest_bet_topic
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_valid_invite_user_recharge,value:feng_valid_invite_user_recharge
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_user_rebate_reward_topic,value:feng_user_rebate_reward_topic
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['spring.profiles.active']}_CHAIN_TRADE_NOTIFY_TOPIC,value:feng_CHAIN_TRADE_NOTIFY_TOPIC
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['spring.profiles.active']}_ADDRESS_BALANCE_NOTIFY_TOPIC,value:feng_ADDRESS_BALANCE_NOTIFY_TOPIC
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['spring.profiles.active']}_SITE_SECURITY_BALANCE_TOPIC,value:feng_SITE_SECURITY_BALANCE_TOPIC
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_clean_account_venue_bet_amount_topic,value:feng_clean_account_venue_bet_amount_topic
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_account_game_topic,value:feng_account_game_topic
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_account_user_coin_topic,value:feng_account_user_coin_topic
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_account_user_platfrom_coin_topic,value:feng_account_user_platfrom_coin_topic
2026-02-07 10:31:25.936 [restartedMain][TID: N/A][trace:] INFO  c.c.b.common.kafka.utils.KafkaUtil - 初始化kafka topic spel表达式,key:#{environment['common.config.env']}_account_agent_coin_topic,value:feng_account_agent_coin_topic
2026-02-07 10:31:26.679 [restartedMain][TID: N/A][trace:] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 19 endpoint(s) beneath base path '/actuator'
2026-02-07 10:31:28.027 [restartedMain][TID: N/A][trace:] INFO  io.undertow - starting server: Undertow - 2.3.3.Final
2026-02-07 10:31:28.035 [restartedMain][TID: N/A][trace:] INFO  org.xnio - XNIO version 3.8.8.Final
2026-02-07 10:31:28.043 [restartedMain][TID: N/A][trace:] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2026-02-07 10:31:28.057 [restartedMain][TID: N/A][trace:] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2026-02-07 10:31:28.080 [restartedMain][TID: N/A][trace:] INFO  o.s.b.w.e.undertow.UndertowWebServer - Undertow started on port(s) 7010 (http)
2026-02-07 10:31:28.477 [restartedMain][TID: N/A][trace:] INFO  c.a.c.n.r.NacosServiceRegistry - nacos registry, feng agent-biz 192.168.62.93:7010 register finished
2026-02-07 10:31:28.491 [restartedMain][TID: N/A][trace:] INFO  c.c.baowang.agent.AgentApplication - Started AgentApplication in 25.466 seconds (process running for 36.959)
2026-02-07 10:31:28.498 [restartedMain][TID: N/A][trace:] INFO  c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=agent-biz-feng.yml, group=feng
2026-02-07 10:31:28.499 [restartedMain][TID: N/A][trace:] INFO  c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=common-config.yml, group=feng
2026-02-07 10:31:28.499 [restartedMain][TID: N/A][trace:] INFO  c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=agent-biz.yml, group=feng
2026-02-07 10:31:28.499 [restartedMain][TID: N/A][trace:] INFO  c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=agent-biz, group=feng
2026-02-07 11:11:53.167 [XNIO-1 task-2][TID: N/A][trace:] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-07 11:11:53.171 [XNIO-1 task-2][TID: N/A][trace:] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-07 11:11:53.210 [XNIO-1 task-2][TID: N/A][trace:] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 39 ms
2026-02-07 11:11:53.801 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.i.LogInterceptor - ====RequestUrl====: [POST] [/nacos-api/commissionReview/api/calcAgentCommission]
2026-02-07 11:11:53.810 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.i.LogInterceptor - ====RequestHeaders====: [{traceId=482364385591468032, siteCode=0, Accept=*/*, timezone=UTC-5, Connection=Keep-Alive, User-Agent=okhttp/4.10.0, reqClientSource=1, Host=192.168.62.93:7010, requestIp=127.0.0.1, userAgent=okhttp/4.10.0, Accept-Encoding=gzip, oneId=123456789123, userAccount=feng01, Accept-Language=zh-CN, Content-Length=1839, X-Custom=m.bw2a.net, Content-Type=application/json}]
